,Product Limits: For Embedded Finance Programs,,,,,,,,,,
,,,ACH Inbound,ACH Outbound,,Wire Inbound,Wire Outbound,,FedNow Inbound,FedNow Outbound,
Product Number,Limit Type,Limits,Inbound Limit,Soft ,Hard,Inbound Limit,Soft ,Hard,Inbound Limit,Soft ,Hard
PRODUCT 1-      OPERATING ACCOUNT,PROGRAM REVENUE (DDA),Transactional Limit,50000,25000,50000,No Limit,1000000,5000000,10000,5000,10000
,PROGRAM REVENUE (DDA),Daily Limit,100000,100000,100000,No Limit,1000000,5000000,10000,5000,10000
,PROGRAM REVENUE (DDA),Monthly Limit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRODUCT 2- OPERATING ACCOUNT,BUSINESS TDA OUTSTANDNIG POOLED ACCOUNT (TDA),Transactional Limit,50000,25000,50000,No Limit,1000000,5000000,10000,5000,10000
,BUSINESS TDA OUTSTANDNIG POOLED ACCOUNT (TDA),Daily Limit,100000,100000,100000,No Limit,1000000,5000000,10000,5000,10000
,BUSINESS TDA OUTSTANDNIG POOLED ACCOUNT (TDA),Monthly Limit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRODUCT 3-OPERATING ACCOUNT,BUSINESS IB TDA OUTSTANDING POOLED ACCOUNT (TDA),Transactional Limit,50000,25000,50000,No Limit,1000000,5000000,10000,5000,10000
,BUSINESS IB TDA OUTSTANDING POOLED ACCOUNT (TDA),Daily Limit,100000,100000,100000,No Limit,1000000,5000000,10000,5000,10000
,BUSINESS IB TDA OUTSTANDING POOLED ACCOUNT (TDA),Monthly Limit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRODUCT 4- OPERATING ACCOUNT,TDA FI BUSINESS (TDA),Transactional Limit,50000,25000,50000,No Limit,1000000,5000000,10000,5000,10000
,TDA FI BUSINESS (TDA),Daily Limit,100000,100000,100000,No Limit,1000000,5000000,10000,5000,10000
,TDA FI BUSINESS (TDA),Monthly Limit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRODUCT 5-OPERATING ACCOUNT,USD RESERVE (DDA),Transactional Limit,50000,25000,50000,No Limit,1000000,5000000,10000,5000,10000
,=B16,Daily Limit,100000,100000,100000,No Limit,1000000,5000000,10000,5000,10000
,=B17,Monthly Limit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRODUCT 6-OPERATING ACCOUNT,PERSONAL IB TDA OUTSTANDING POOLED ACCOUNT (TDA),Transactional Limit,50000,25000,50000,No Limit,1000000,5000000,10000,5000,10000
,PERSONAL IB TDA OUTSTANDING POOLED ACCOUNT (TDA),Daily Limit,100000,100000,100000,No Limit,1000000,5000000,10000,5000,10000
,PERSONAL IB TDA OUTSTANDING POOLED ACCOUNT (TDA),Monthly Limit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRODUCT 7-OPERATING ACCOUNT,PERSONAL TDA OUTSTANDING POOLED ACCOUNT (TDA),Transactional Limit,50000,25000,50000,No Limit,1000000,5000000,10000,5000,10000
,PERSONAL TDA OUTSTANDING POOLED ACCOUNT (TDA),Daily Limit,100000,100000,100000,No Limit,1000000,5000000,10000,5000,10000
,PERSONAL TDA OUTSTANDING POOLED ACCOUNT (TDA),Monthly Limit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRODUCT 8-END USER ACCOUNT,TD COMMERCIAL NON INTEREST BEARING DEPOSITS (TDA),Transactional Limit,50000,25000,50000,No Limit,1000000,5000000,10000,5000,10000
,TD COMMERCIAL NON INTEREST BEARING DEPOSITS (TDA),Daily Limit,100000,100000,100000,No Limit,1000000,5000000,10000,5000,10000
,TD COMMERCIAL NON INTEREST BEARING DEPOSITS (TDA),Monthly Limit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
