Tenant Level,Group Code,Account Name,Account Description,Owned By,Account Type,GL Types,Shadow Account,Core Account Numbers,Transfer Funds Rights,View Account Rights,Notes
Program,ACH_SUSPENSE_OP_ACCT,<BANK TO FILL>,ACH Suspense,Bank,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,Bank Ops,"Infinant Admin,
Bank Ops",
Program,PROGRAM_POOLED_ACCOUNTHOLDER,<BANK TO FILL>,Pooled Accountholder,Bank,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,Bank Ops,"Infinant Admin,
Bank Ops,
Program Admin",
Program,PROGRAM_REVENUE,<BANK TO FILL>,Program Revenue,Bank,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,Bank Ops,"Infinant Admin,
Bank Ops,
Program Admin",
Program,PROGRAM_RESERVE,<BANK TO FILL>,Program Reserve,Bank,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,Bank Ops,"Infinant Admin,
Bank Ops,
Program Admin",
Program,PROGRAM_INTEREST,<BANK TO FILL>,Program Interest Account,Bank,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,"Bank Ops,
Program Admin","Infinant Admin,
Bank Ops,
Program Admin",
Program,PROGRAM_INCOME,<BANK TO FILL>,Program Income Account,Program,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,"Bank Ops,
Program Admin","Infinant Admin,
Bank Ops,
Program Admin",
Program,PROGRAM_NETWORK_SETTLEMENT,<BANK TO FILL>,Program Network Settlement,Bank,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,Bank Ops,"Infinant Administrator,
 Bank Ops,
 Program Admin",
Program,PROGRAM_NETWORK_CLEARING,<BANK TO FILL>,PROGRAM NETWORK CLEARING,Bank,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,Bank Ops,"Infinant Administrator,
 Bank Ops,
 Program Admin",
Program,PROGRAM_ADJUSTMENT,<BANK TO FILL>,PROGRAM ADJUSTMENT,Bank,Operating Account,N/A,<BANK TO FILL>,<BANK TO FILL IF SHADOW ACCOUNT TRUE>,"Bank Ops
","Infinant Admin,
Bank Ops,
Program Admin",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Card Accounts,,,,,,,,,,
,Optional FBO,,,,,,,,,,
