Product,Customer Type,Account Type,Product Name,Product Description,Interest Type,Fixed Rate,Variable Index,Spread,Min Rate,Max Rate,Tiers,Fixed Rate,Variable Index,Spread,Min Rate,Max Rate
Product 1,Commercial,Checking,Program Revenue (DDA),OPERATING ACCOUNT Bank Revenue / FBO account,No Interest,,,,,,Tier 1,,,,,
,,,,,,,,,,,Tier 2,,,,,
,,,,,,,,,,,Tier 3,,,,,
Product 2,Commercial,Checking,Business TDA Outstanding Pooled Account (TDA),OPERATING ACCOUNT Commercial TDA Outstanding,No Interest,,,,,,Tier 1,,,,,
,,,,,,,,,,,Tier 2,,,,,
,,,,,,,,,,,Tier 3,,,,,
Product 3,Commercial,Checking,Business IB TDA Outstanding Pooled Account (TDA),OPERATING ACCOUNT Commercial IB TDA Outstanding,Variable,,FFE,0.7,2,5,Tier 1,,,,,
,,,,,,,,,,,Tier 2,,,,,
,,,,,,,,,,,Tier 3,,,,,
Product 4,Commercial,Checking,TDA FI Business (TDA),OPERATING ACCOUNT,No Interest,,,,,,Tier 1,,,,,
,,,,,,,,,,,Tier 2,,,,,
,,,,,,,,,,,Tier 3,,,,,
Product 5,Commercial,Checking,USD Reserve (DDA),OPERATING ACCOUNT USD Reserve,No Interest,,,,,,Tier 1,,,,,
,,,,,,,,,,,Tier 2,,,,,
,,,,,,,,,,,Tier 3,,,,,
Product 6,Retail,Checking,Personal IB TDA Outstanding Pooled Account (TDA),OPERATING ACCOUNT Personal IB TDA Outstaning,Variable,,FFE,0.6,2,5,Tier 1,,,,,
,,,,,,,,,,,Tier 2,,,,,
,,,,,,,,,,,Tier 3,,,,,
Product 7,Retail,Checking,Personal TDA Outstanding Pooled Account (TDA),OPERATING ACCOUNT Personal TDA Outstanding,No Interest,,,,,,Tier 1,,,,,
,,,,,,,,,,,Tier 2,,,,,
,,,,,,,,,,,Tier 3,,,,,
Product 8,Commercial,Checking,TD Commercial Non Interest Bearing Deposits (TDA),END USER  TD Commercial Non Interest Bearing Deposits,No Interest,,,,,,Tier 1,,,,,
,,,,,,,,,,,Tier 2,,,,,
,,,,,,,,,,,Tier 3,,,,,
